Hannah Abbott
Mr. and Mrs. Theodore Nott
Bob Ogden
Dr. Bob Ogden
Professor Bob Ogden
Mr. Bob Ogden
Mrs. Bob Ogden
Ms. Bob Ogden
Miss Bob Ogden
Aunt Bob Ogden
Uncle Bob Ogden
Mr. and Mrs. Bob Ogden
Garrick Ollivander
Dr. Garrick Ollivander
Professor Garrick Ollivander
Mr. Garrick Ollivander
Mrs. Garrick Ollivander
Ms. Garrick Ollivander
Miss Garrick Ollivander
Aunt Garrick Ollivander
Uncle Garrick Ollivander
Mr. and Mrs. Garrick Ollivander
Pansy Parkinson
Dr. Pansy Parkinson
Professor Pansy Parkinson
Mr. Pansy Parkinson
Mrs. Pansy Parkinson
Ms. Pansy Parkinson
Miss Pansy Parkinson
Aunt Pansy Parkinson
Uncle Pansy Parkinson
Mr. and Mrs. Pansy Parkinson
Padma Patil
Dr. Padma Patil
Professor Padma Patil
Mr. Padma Patil
Mrs. Padma Patil
Ms. Padma Patil
Miss Padma Patil
Aunt Padma Patil
Uncle Padma Patil
Mr. and Mrs. Padma Patil
Parvati Patil
Dr. Parvati Patil
Professor Parvati Patil
Mr. Parvati Patil
Mrs. Parvati Patil
Ms. Parvati Patil
Miss Parvati Patil
Aunt Parvati Patil
Uncle Parvati Patil
Mr. and Mrs. Parvati Patil
Peter Pettigrew
Dr. Peter Pettigrew
Professor Peter Pettigrew
Mr. Peter Pettigrew
Mrs. Peter Pettigrew
Ms. Peter Pettigrew
Miss Peter Pettigrew
Aunt Peter Pettigrew
Uncle Peter Pettigrew
Mr. and Mrs. Peter Pettigrew
Antioch, Cadmus, and Ignotus Peverell
Dr. Antioch, Cadmus, and Ignotus Peverell
Professor Antioch, Cadmus, and Ignotus Peverell
Mr. Antioch, Cadmus, and Ignotus Peverell
Mrs. Antioch, Cadmus, and Ignotus Peverell
Ms. Antioch, Cadmus, and Ignotus Peverell
Miss Antioch, Cadmus, and Ignotus Peverell
Aunt Antioch, Cadmus, and Ignotus Peverell
Uncle Antioch, Cadmus, and Ignotus Peverell
Mr. and Mrs. Antioch, Cadmus, and Ignotus Peverell
Irma Pince
Dr. Irma Pince
Professor Irma Pince
Mr. Irma Pince
Mrs. Irma Pince
Ms. Irma Pince
Miss Irma Pince
Aunt Irma Pince
Uncle Irma Pince
Mr. and Mrs. Irma Pince
Sturgis Podmore
Dr. Sturgis Podmore
Professor Sturgis Podmore
Mr. Sturgis Podmore
Mrs. Sturgis Podmore
Ms. Sturgis Podmore
Miss Sturgis Podmore
Aunt Sturgis Podmore
Uncle Sturgis Podmore
Mr. and Mrs. Sturgis Podmore
Poppy Pomfrey
Dr. Poppy Pomfrey
Professor Poppy Pomfrey
Mr. Poppy Pomfrey
Mrs. Poppy Pomfrey
Ms. Poppy Pomfrey
Miss Poppy Pomfrey
Aunt Poppy Pomfrey
Uncle Poppy Pomfrey
Mr. and Mrs. Poppy Pomfrey
Harry Potter
Dr. Harry Potter
Professor Harry Potter
Mr. Harry Potter
Mrs. Harry Potter
Ms. Harry Potter
Miss Harry Potter
Aunt Harry Potter
Uncle Harry Potter
Mr. and Mrs. Harry Potter
James Potter
Dr. James Potter
Professor James Potter
Mr. James Potter
Mrs. James Potter
Ms. James Potter
Miss James Potter
Aunt James Potter
Uncle James Potter
Mr. and Mrs. James Potter
Lily Potter
Dr. Lily Potter
Professor Lily Potter
Mr. Lily Potter
Mrs. Lily Potter
Ms. Lily Potter
Miss Lily Potter
Aunt Lily Potter
Uncle Lily Potter
Mr. and Mrs. Lily Potter
Albus Severus Potter
Dr. Albus Severus Potter
Professor Albus Severus Potter
Mr. Albus Severus Potter
Mrs. Albus Severus Potter
Ms. Albus Severus Potter
Miss Albus Severus Potter
Aunt Albus Severus Potter
Uncle Albus Severus Potter
Mr. and Mrs. Albus Severus Potter
James Sirius Potter
Dr. James Sirius Potter
Professor James Sirius Potter
Mr. James Sirius Potter
Mrs. James Sirius Potter
Ms. James Sirius Potter
Miss James Sirius Potter
Aunt James Sirius Potter
Uncle James Sirius Potter
Mr. and Mrs. James Sirius Potter
Lily Luna Potter
Dr. Lily Luna Potter
Professor Lily Luna Potter
Mr. Lily Luna Potter
Mrs. Lily Luna Potter
Ms. Lily Luna Potter
Miss Lily Luna Potter
Aunt Lily Luna Potter
Uncle Lily Luna Potter
Mr. and Mrs. Lily Luna Potter
Quirinus Quirrell
Dr. Quirinus Quirrell
Professor Quirinus Quirrell
Mr. Quirinus Quirrell
Mrs. Quirinus Quirrell
Ms. Quirinus Quirrell
Miss Quirinus Quirrell
Aunt Quirinus Quirrell
Uncle Quirinus Quirrell
Mr. and Mrs. Quirinus Quirrell
Helena Ravenclaw
Dr. Helena Ravenclaw
Professor Helena Ravenclaw
Mr. Helena Ravenclaw
Mrs. Helena Ravenclaw
Ms. Helena Ravenclaw
Miss Helena Ravenclaw
Aunt Helena Ravenclaw
Uncle Helena Ravenclaw
Mr. and Mrs. Helena Ravenclaw
The Grey Lady
Dr. The Grey Lady
Professor The Grey Lady
Mr. The Grey Lady
Mrs. The Grey Lady
Ms. The Grey Lady
Miss The Grey Lady
Aunt The Grey Lady
Uncle The Grey Lady
Mr. and Mrs. The Grey Lady
Rowena Ravenclaw
Dr. Rowena Ravenclaw
Professor Rowena Ravenclaw
Mr. Rowena Ravenclaw
Mrs. Rowena Ravenclaw
Ms. Rowena Ravenclaw
Miss Rowena Ravenclaw
Aunt Rowena Ravenclaw
Uncle Rowena Ravenclaw
Mr. and Mrs. Rowena Ravenclaw
Mary Riddle
Dr. Mary Riddle
Professor Mary Riddle
Mr. Mary Riddle
Mrs. Mary Riddle
Ms. Mary Riddle
Miss Mary Riddle
Aunt Mary Riddle
Uncle Mary Riddle
Mr. and Mrs. Mary Riddle
Thomas Riddle Sr.
Dr. Thomas Riddle Sr.
Professor Thomas Riddle Sr.
Mr. Thomas Riddle Sr.
Mrs. Thomas Riddle Sr.
Ms. Thomas Riddle Sr.
Miss Thomas Riddle Sr.
Aunt Thomas Riddle Sr.
Uncle Thomas Riddle Sr.
Mr. and Mrs. Thomas Riddle Sr.
Thomas Riddle Jr.
Dr. Thomas Riddle Jr.
Professor Thomas Riddle Jr.
Mr. Thomas Riddle Jr.
Mrs. Thomas Riddle Jr.
Ms. Thomas Riddle Jr.
Miss Thomas Riddle Jr.
Aunt Thomas Riddle Jr.
Uncle Thomas Riddle Jr.
Mr. and Mrs. Thomas Riddle Jr.
Thomas Marvolo Riddle
Dr. Thomas Marvolo Riddle
Professor Thomas Marvolo Riddle
Mr. Thomas Marvolo Riddle
Mrs. Thomas Marvolo Riddle
Ms. Thomas Marvolo Riddle
Miss Thomas Marvolo Riddle
Aunt Thomas Marvolo Riddle
Uncle Thomas Marvolo Riddle
Mr. and Mrs. Thomas Marvolo Riddle
Demelza Robins
Dr. Demelza Robins
Professor Demelza Robins
Mr. Demelza Robins
Mrs. Demelza Robins
Ms. Demelza Robins
Miss Demelza Robins
Aunt Demelza Robins
Uncle Demelza Robins
Mr. and Mrs. Demelza Robins
Augustus Rookwood
Dr. Augustus Rookwood
Professor Augustus Rookwood
Mr. Augustus Rookwood
Mrs. Augustus Rookwood
Ms. Augustus Rookwood
Miss Augustus Rookwood
Aunt Augustus Rookwood
Uncle Augustus Rookwood
Mr. and Mrs. Augustus Rookwood
Thorfinn Rowle
Dr. Thorfinn Rowle
Professor Thorfinn Rowle
Mr. Thorfinn Rowle
Mrs. Thorfinn Rowle
Ms. Thorfinn Rowle
Miss Thorfinn Rowle
Aunt Thorfinn Rowle
Uncle Thorfinn Rowle
Mr. and Mrs. Thorfinn Rowle
Albert Runcorn
Dr. Albert Runcorn
Professor Albert Runcorn
Mr. Albert Runcorn
Mrs. Albert Runcorn
Ms. Albert Runcorn
Miss Albert Runcorn
Aunt Albert Runcorn
Uncle Albert Runcorn
Mr. and Mrs. Albert Runcorn
Newt Scamander
Dr. Newt Scamander
Professor Newt Scamander
Mr. Newt Scamander
Mrs. Newt Scamander
Ms. Newt Scamander
Miss Newt Scamander
Aunt Newt Scamander
Uncle Newt Scamander
Mr. and Mrs. Newt Scamander
Rufus Scrimgeour
Dr. Rufus Scrimgeour
Professor Rufus Scrimgeour
Mr. Rufus Scrimgeour
Mrs. Rufus Scrimgeour
Ms. Rufus Scrimgeour
Miss Rufus Scrimgeour
Aunt Rufus Scrimgeour
Uncle Rufus Scrimgeour
Mr. and Mrs. Rufus Scrimgeour
Kingsley Shacklebolt
Dr. Kingsley Shacklebolt
Professor Kingsley Shacklebolt
Mr. Kingsley Shacklebolt
Mrs. Kingsley Shacklebolt
Ms. Kingsley Shacklebolt
Miss Kingsley Shacklebolt
Aunt Kingsley Shacklebolt
Uncle Kingsley Shacklebolt
Mr. and Mrs. Kingsley Shacklebolt
Stan Shunpike
Dr. Stan Shunpike
Professor Stan Shunpike
Mr. Stan Shunpike
Mrs. Stan Shunpike
Ms. Stan Shunpike
Miss Stan Shunpike
Aunt Stan Shunpike
Uncle Stan Shunpike
Mr. and Mrs. Stan Shunpike
Aurora Sinistra
Dr. Aurora Sinistra
Professor Aurora Sinistra
Mr. Aurora Sinistra
Mrs. Aurora Sinistra
Ms. Aurora Sinistra
Miss Aurora Sinistra
Aunt Aurora Sinistra
Uncle Aurora Sinistra
Mr. and Mrs. Aurora Sinistra
Rita Skeeter
Dr. Rita Skeeter
Professor Rita Skeeter
Mr. Rita Skeeter
Mrs. Rita Skeeter
Ms. Rita Skeeter
Miss Rita Skeeter
Aunt Rita Skeeter
Uncle Rita Skeeter
Mr. and Mrs. Rita Skeeter
Horace Slughorn
Dr. Horace Slughorn
Professor Horace Slughorn
Mr. Horace Slughorn
Mrs. Horace Slughorn
Ms. Horace Slughorn
Miss Horace Slughorn
Aunt Horace Slughorn
Uncle Horace Slughorn
Mr. and Mrs. Horace Slughorn
Salazar Slytherin
Dr. Salazar Slytherin
Professor Salazar Slytherin
Mr. Salazar Slytherin
Mrs. Salazar Slytherin
Ms. Salazar Slytherin
Miss Salazar Slytherin
Aunt Salazar Slytherin
Uncle Salazar Slytherin
Mr. and Mrs. Salazar Slytherin
Zacharias Smith
Dr. Zacharias Smith
Professor Zacharias Smith
Mr. Zacharias Smith
Mrs. Zacharias Smith
Ms. Zacharias Smith
Miss Zacharias Smith
Aunt Zacharias Smith
Uncle Zacharias Smith
Mr. and Mrs. Zacharias Smith
Severus Snape
Dr. Severus Snape
Professor Severus Snape
Mr. Severus Snape
Mrs. Severus Snape
Ms. Severus Snape
Miss Severus Snape
Aunt Severus Snape
Uncle Severus Snape
Mr. and Mrs. Severus Snape
Alicia Spinnet
Dr. Alicia Spinnet
Professor Alicia Spinnet
Mr. Alicia Spinnet
Mrs. Alicia Spinnet
Ms. Alicia Spinnet
Miss Alicia Spinnet
Aunt Alicia Spinnet
Uncle Alicia Spinnet
Mr. and Mrs. Alicia Spinnet
Pomona Sprout
Dr. Pomona Sprout
Professor Pomona Sprout
Mr. Pomona Sprout
Mrs. Pomona Sprout
Ms. Pomona Sprout
Miss Pomona Sprout
Aunt Pomona Sprout
Uncle Pomona Sprout
Mr. and Mrs. Pomona Sprout
Pius Thicknesse
Dr. Pius Thicknesse
Professor Pius Thicknesse
Mr. Pius Thicknesse
Mrs. Pius Thicknesse
Ms. Pius Thicknesse
Miss Pius Thicknesse
Aunt Pius Thicknesse
Uncle Pius Thicknesse
Mr. and Mrs. Pius Thicknesse
Dean Thomas
Dr. Dean Thomas
Professor Dean Thomas
Mr. Dean Thomas
Mrs. Dean Thomas
Ms. Dean Thomas
Miss Dean Thomas
Aunt Dean Thomas
Uncle Dean Thomas
Mr. and Mrs. Dean Thomas
Andromeda Tonks
Dr. Andromeda Tonks
Professor Andromeda Tonks
Mr. Andromeda Tonks
Mrs. Andromeda Tonks
Ms. Andromeda Tonks
Miss Andromeda Tonks
Aunt Andromeda Tonks
Uncle Andromeda Tonks
Mr. and Mrs. Andromeda Tonks
Nymphadora Tonks
Dr. Nymphadora Tonks
Professor Nymphadora Tonks
Mr. Nymphadora Tonks
Mrs. Nymphadora Tonks
Ms. Nymphadora Tonks
Miss Nymphadora Tonks
Aunt Nymphadora Tonks
Uncle Nymphadora Tonks
Mr. and Mrs. Nymphadora Tonks
Ted Tonks
Dr. Ted Tonks
Professor Ted Tonks
Mr. Ted Tonks
Mrs. Ted Tonks
Ms. Ted Tonks
Miss Ted Tonks
Aunt Ted Tonks
Uncle Ted Tonks
Mr. and Mrs. Ted Tonks
Sybill Trelawney
Dr. Sybill Trelawney
Professor Sybill Trelawney
Mr. Sybill Trelawney
Mrs. Sybill Trelawney
Ms. Sybill Trelawney
Miss Sybill Trelawney
Aunt Sybill Trelawney
Uncle Sybill Trelawney
Mr. and Mrs. Sybill Trelawney
Wilkie Twycross
Dr. Wilkie Twycross
Professor Wilkie Twycross
Mr. Wilkie Twycross
Mrs. Wilkie Twycross
Ms. Wilkie Twycross
Miss Wilkie Twycross
Aunt Wilkie Twycross
Uncle Wilkie Twycross
Mr. and Mrs. Wilkie Twycross
Dolores Umbridge
Dr. Dolores Umbridge
Professor Dolores Umbridge
Mr. Dolores Umbridge
Mrs. Dolores Umbridge
Ms. Dolores Umbridge
Miss Dolores Umbridge
Aunt Dolores Umbridge
Uncle Dolores Umbridge
Mr. and Mrs. Dolores Umbridge
Emmeline Vance
Dr. Emmeline Vance
Professor Emmeline Vance
Mr. Emmeline Vance
Mrs. Emmeline Vance
Ms. Emmeline Vance
Miss Emmeline Vance
Aunt Emmeline Vance
Uncle Emmeline Vance
Mr. and Mrs. Emmeline Vance
Romilda Vane
Dr. Romilda Vane
Professor Romilda Vane
Mr. Romilda Vane
Mrs. Romilda Vane
Ms. Romilda Vane
Miss Romilda Vane
Aunt Romilda Vane
Uncle Romilda Vane
Mr. and Mrs. Romilda Vane
Septima Vector
Dr. Septima Vector
Professor Septima Vector
Mr. Septima Vector
Mrs. Septima Vector
Ms. Septima Vector
Miss Septima Vector
Aunt Septima Vector
Uncle Septima Vector
Mr. and Mrs. Septima Vector
Lord Voldemort (Tom Marvolo Riddle)
Dr. Lord Voldemort (Tom Marvolo Riddle)
Professor Lord Voldemort (Tom Marvolo Riddle)
Mr. Lord Voldemort (Tom Marvolo Riddle)
Mrs. Lord Voldemort (Tom Marvolo Riddle)
Ms. Lord Voldemort (Tom Marvolo Riddle)
Miss Lord Voldemort (Tom Marvolo Riddle)
Aunt Lord Voldemort (Tom Marvolo Riddle)
Uncle Lord Voldemort (Tom Marvolo Riddle)
Mr. and Mrs. Lord Voldemort (Tom Marvolo Riddle)
Myrtle Warren
Dr. Myrtle Warren
Professor Myrtle Warren
Mr. Myrtle Warren
Mrs. Myrtle Warren
Ms. Myrtle Warren
Miss Myrtle Warren
Aunt Myrtle Warren
Uncle Myrtle Warren
Mr. and Mrs. Myrtle Warren
Moaning Myrtle
Dr. Moaning Myrtle
Professor Moaning Myrtle
Mr. Moaning Myrtle
Mrs. Moaning Myrtle
Ms. Moaning Myrtle
Miss Moaning Myrtle
Aunt Moaning Myrtle
Uncle Moaning Myrtle
Mr. and Mrs. Moaning Myrtle
Arthur Weasley
Dr. Arthur Weasley
Professor Arthur Weasley
Mr. Arthur Weasley
Mrs. Arthur Weasley
Ms. Arthur Weasley
Miss Arthur Weasley
Aunt Arthur Weasley
Uncle Arthur Weasley
Mr. and Mrs. Arthur Weasley
Bill Weasley
Dr. Bill Weasley
Professor Bill Weasley
Mr. Bill Weasley
Mrs. Bill Weasley
Ms. Bill Weasley
Miss Bill Weasley
Aunt Bill Weasley
Uncle Bill Weasley
Mr. and Mrs. Bill Weasley
Charlie Weasley
Dr. Charlie Weasley
Professor Charlie Weasley
Mr. Charlie Weasley
Mrs. Charlie Weasley
Ms. Charlie Weasley
Miss Charlie Weasley
Aunt Charlie Weasley
Uncle Charlie Weasley
Mr. and Mrs. Charlie Weasley
Fred Weasley
Dr. Fred Weasley
Professor Fred Weasley
Mr. Fred Weasley
Mrs. Fred Weasley
Ms. Fred Weasley
Miss Fred Weasley
Aunt Fred Weasley
Uncle Fred Weasley
Mr. and Mrs. Fred Weasley
George Weasley
Dr. George Weasley
Professor George Weasley
Mr. George Weasley
Mrs. George Weasley
Ms. George Weasley
Miss George Weasley
Aunt George Weasley
Uncle George Weasley
Mr. and Mrs. George Weasley
Ginny Weasley
Dr. Ginny Weasley
Professor Ginny Weasley
Mr. Ginny Weasley
Mrs. Ginny Weasley
Ms. Ginny Weasley
Miss Ginny Weasley
Aunt Ginny Weasley
Uncle Ginny Weasley
Mr. and Mrs. Ginny Weasley
Hugo Weasley
Dr. Hugo Weasley
Professor Hugo Weasley
Mr. Hugo Weasley
Mrs. Hugo Weasley
Ms. Hugo Weasley
Miss Hugo Weasley
Aunt Hugo Weasley
Uncle Hugo Weasley
Mr. and Mrs. Hugo Weasley
Molly Weasley
Dr. Molly Weasley
Professor Molly Weasley
Mr. Molly Weasley
Mrs. Molly Weasley
Ms. Molly Weasley
Miss Molly Weasley
Aunt Molly Weasley
Uncle Molly Weasley
Mr. and Mrs. Molly Weasley
Percy Weasley
Dr. Percy Weasley
Professor Percy Weasley
Mr. Percy Weasley
Mrs. Percy Weasley
Ms. Percy Weasley
Miss Percy Weasley
Aunt Percy Weasley
Uncle Percy Weasley
Mr. and Mrs. Percy Weasley
Ron Weasley
Dr. Ron Weasley
Professor Ron Weasley
Mr. Ron Weasley
Mrs. Ron Weasley
Ms. Ron Weasley
Miss Ron Weasley
Aunt Ron Weasley
Uncle Ron Weasley
Mr. and Mrs. Ron Weasley
Oliver Wood
Dr. Oliver Wood
Professor Oliver Wood
Mr. Oliver Wood
Mrs. Oliver Wood
Ms. Oliver Wood
Miss Oliver Wood
Aunt Oliver Wood
Uncle Oliver Wood
Mr. and Mrs. Oliver Wood
Rose Weasley
Dr. Rose Weasley
Professor Rose Weasley
Mr. Rose Weasley
Mrs. Rose Weasley
Ms. Rose Weasley
Miss Rose Weasley
Aunt Rose Weasley
Uncle Rose Weasley
Mr. and Mrs. Rose Weasley
Corban Yaxley
Dr. Corban Yaxley
Professor Corban Yaxley
Mr. Corban Yaxley
Mrs. Corban Yaxley
Ms. Corban Yaxley
Miss Corban Yaxley
Aunt Corban Yaxley
Uncle Corban Yaxley
Mr. and Mrs. Corban Yaxley
Blaise Zabini
Dr. Blaise Zabini
Professor Blaise Zabini
Mr. Blaise Zabini
Mrs. Blaise Zabini
Ms. Blaise Zabini
Miss Blaise Zabini
Aunt Blaise Zabini
Uncle Blaise Zabini
Mr. and Mrs. Blaise Zabini
Aragog
Dr. Aragog
Professor Aragog
Mr. Aragog
Mrs. Aragog
Ms. Aragog
Miss Aragog
Aunt Aragog
Uncle Aragog
Mr. and Mrs. Aragog
Bane
Dr. Bane
Professor Bane
Mr. Bane
Mrs. Bane
Ms. Bane
Miss Bane
Aunt Bane
Uncle Bane
Mr. and Mrs. Bane
Beedle the Bard
Dr. Beedle the Bard
Professor Beedle the Bard
Mr. Beedle the Bard
Mrs. Beedle the Bard
Ms. Beedle the Bard
Miss Beedle the Bard
Aunt Beedle the Bard
Uncle Beedle the Bard
Mr. and Mrs. Beedle the Bard
The Bloody Baron
Dr. The Bloody Baron
Professor The Bloody Baron
Mr. The Bloody Baron
Mrs. The Bloody Baron
Ms. The Bloody Baron
Miss The Bloody Baron
Aunt The Bloody Baron
Uncle The Bloody Baron
Mr. and Mrs. The Bloody Baron
Bogrod
Dr. Bogrod
Professor Bogrod
Mr. Bogrod
Mrs. Bogrod
Ms. Bogrod
Miss Bogrod
Aunt Bogrod
Uncle Bogrod
Mr. and Mrs. Bogrod
Buckbeak
Dr. Buckbeak
Professor Buckbeak
Mr. Buckbeak
Mrs. Buckbeak
Ms. Buckbeak
Miss Buckbeak
Aunt Buckbeak
Uncle Buckbeak
Mr. and Mrs. Buckbeak
Sir Cadogan
Dr. Sir Cadogan
Professor Sir Cadogan
Mr. Sir Cadogan
Mrs. Sir Cadogan
Ms. Sir Cadogan
Miss Sir Cadogan
Aunt Sir Cadogan
Uncle Sir Cadogan
Mr. and Mrs. Sir Cadogan
Crookshanks
Dr. Crookshanks
Professor Crookshanks
Mr. Crookshanks
Mrs. Crookshanks
Ms. Crookshanks
Miss Crookshanks
Aunt Crookshanks
Uncle Crookshanks
Mr. and Mrs. Crookshanks
Dobby
Dr. Dobby
Professor Dobby
Mr. Dobby
Mrs. Dobby
Ms. Dobby
Miss Dobby
Aunt Dobby
Uncle Dobby
Mr. and Mrs. Dobby
Errol
Dr. Errol
Professor Errol
Mr. Errol
Mrs. Errol
Ms. Errol
Miss Errol
Aunt Errol
Uncle Errol
Mr. and Mrs. Errol
Fang
Dr. Fang
Professor Fang
Mr. Fang
Mrs. Fang
Ms. Fang
Miss Fang
Aunt Fang
Uncle Fang
Mr. and Mrs. Fang
The Fat Friar
Dr. The Fat Friar
Professor The Fat Friar
Mr. The Fat Friar
Mrs. The Fat Friar
Ms. The Fat Friar
Miss The Fat Friar
Aunt The Fat Friar
Uncle The Fat Friar
Mr. and Mrs. The Fat Friar
The Fat Lady
Dr. The Fat Lady
Professor The Fat Lady
Mr. The Fat Lady
Mrs. The Fat Lady
Ms. The Fat Lady
Miss The Fat Lady
Aunt The Fat Lady
Uncle The Fat Lady
Mr. and Mrs. The Fat Lady
Fawkes
Dr. Fawkes
Professor Fawkes
Mr. Fawkes
Mrs. Fawkes
Ms. Fawkes
Miss Fawkes
Aunt Fawkes
Uncle Fawkes
Mr. and Mrs. Fawkes
Firenze
Dr. Firenze
Professor Firenze
Mr. Firenze
Mrs. Firenze
Ms. Firenze
Miss Firenze
Aunt Firenze
Uncle Firenze
Mr. and Mrs. Firenze
Fluffy
Dr. Fluffy
Professor Fluffy
Mr. Fluffy
Mrs. Fluffy
Ms. Fluffy
Miss Fluffy
Aunt Fluffy
Uncle Fluffy
Mr. and Mrs. Fluffy
Gornuk
Dr. Gornuk
Professor Gornuk
Mr. Gornuk
Mrs. Gornuk
Ms. Gornuk
Miss Gornuk
Aunt Gornuk
Uncle Gornuk
Mr. and Mrs. Gornuk
Grawp
Dr. Grawp
Professor Grawp
Mr. Grawp
Mrs. Grawp
Ms. Grawp
Miss Grawp
Aunt Grawp
Uncle Grawp
Mr. and Mrs. Grawp
Griphook
Dr. Griphook
Professor Griphook
Mr. Griphook
Mrs. Griphook
Ms. Griphook
Miss Griphook
Aunt Griphook
Uncle Griphook
Mr. and Mrs. Griphook
Hedwig
Dr. Hedwig
Professor Hedwig
Mr. Hedwig
Mrs. Hedwig
Ms. Hedwig
Miss Hedwig
Aunt Hedwig
Uncle Hedwig
Mr. and Mrs. Hedwig
Hokey
Dr. Hokey
Professor Hokey
Mr. Hokey
Mrs. Hokey
Ms. Hokey
Miss Hokey
Aunt Hokey
Uncle Hokey
Mr. and Mrs. Hokey
Kreacher
Dr. Kreacher
Professor Kreacher
Mr. Kreacher
Mrs. Kreacher
Ms. Kreacher
Miss Kreacher
Aunt Kreacher
Uncle Kreacher
Mr. and Mrs. Kreacher
Magorian
Dr. Magorian
Professor Magorian
Mr. Magorian
Mrs. Magorian
Ms. Magorian
Miss Magorian
Aunt Magorian
Uncle Magorian
Mr. and Mrs. Magorian
Great Aunt Muriel
Dr. Great Aunt Muriel
Professor Great Aunt Muriel
Mr. Great Aunt Muriel
Mrs. Great Aunt Muriel
Ms. Great Aunt Muriel
Miss Great Aunt Muriel
Aunt Great Aunt Muriel
Uncle Great Aunt Muriel
Mr. and Mrs. Great Aunt Muriel
Nagini
Dr. Nagini
Professor Nagini
Mr. Nagini
Mrs. Nagini
Ms. Nagini
Miss Nagini
Aunt Nagini
Uncle Nagini
Mr. and Mrs. Nagini
Nearly Headless Nick
Dr. Nearly Headless Nick
Professor Nearly Headless Nick
Mr. Nearly Headless Nick
Mrs. Nearly Headless Nick
Ms. Nearly Headless Nick
Miss Nearly Headless Nick
Aunt Nearly Headless Nick
Uncle Nearly Headless Nick
Mr. and Mrs. Nearly Headless Nick
Norbert
Dr. Norbert
Professor Norbert
Mr. Norbert
Mrs. Norbert
Ms. Norbert
Miss Norbert
Aunt Norbert
Uncle Norbert
Mr. and Mrs. Norbert
Peeves
Dr. Peeves
Professor Peeves
Mr. Peeves
Mrs. Peeves
Ms. Peeves
Miss Peeves
Aunt Peeves
Uncle Peeves
Mr. and Mrs. Peeves
Pigwidgeon
Dr. Pigwidgeon
Professor Pigwidgeon
Mr. Pigwidgeon
Mrs. Pigwidgeon
Ms. Pigwidgeon
Miss Pigwidgeon
Aunt Pigwidgeon
Uncle Pigwidgeon
Mr. and Mrs. Pigwidgeon
Madam Rosmerta
Dr. Madam Rosmerta
Professor Madam Rosmerta
Mr. Madam Rosmerta
Mrs. Madam Rosmerta
Ms. Madam Rosmerta
Miss Madam Rosmerta
Aunt Madam Rosmerta
Uncle Madam Rosmerta
Mr. and Mrs. Madam Rosmerta
Ronan
Dr. Ronan
Professor Ronan
Mr. Ronan
Mrs. Ronan
Ms. Ronan
Miss Ronan
Aunt Ronan
Uncle Ronan
Mr. and Mrs. Ronan
Scabbers
Dr. Scabbers
Professor Scabbers
Mr. Scabbers
Mrs. Scabbers
Ms. Scabbers
Miss Scabbers
Aunt Scabbers
Uncle Scabbers
Mr. and Mrs. Scabbers
Scabior
Dr. Scabior
Professor Scabior
Mr. Scabior
Mrs. Scabior
Ms. Scabior
Miss Scabior
Aunt Scabior
Uncle Scabior
Mr. and Mrs. Scabior
Travers
Dr. Travers
Professor Travers
Mr. Travers
Mrs. Travers
Ms. Travers
Miss Travers
Aunt Travers
Uncle Travers
Mr. and Mrs. Travers
Trevor
Dr. Trevor
Professor Trevor
Mr. Trevor
Mrs. Trevor
Ms. Trevor
Miss Trevor
Aunt Trevor
Uncle Trevor
Mr. and Mrs. Trevor
Winky
Dr. Winky
Professor Winky
Mr. Winky
Mrs. Winky
Ms. Winky
Miss Winky
Aunt Winky
Uncle Winky
Mr. and Mrs. Winky
Hannah
Dr. Hannah
Professor Hannah
Mr. Hannah
Mrs. Hannah
Ms. Hannah
Miss Hannah
Aunt Hannah
Uncle Hannah
Mr. and Mrs. Hannah
Abbott
Dr. Abbott
Professor Abbott
Mr. Abbott
Mrs. Abbott
Ms. Abbott
Miss Abbott
Aunt Abbott
Uncle Abbott
Mr. and Mrs. Abbott
Ludo
Dr. Ludo
Professor Ludo
Mr. Ludo
Mrs. Ludo
Ms. Ludo
Miss Ludo
Aunt Ludo
Uncle Ludo
Mr. and Mrs. Ludo
Bagman
Dr. Bagman
Professor Bagman
Mr. Bagman
Mrs. Bagman
Ms. Bagman
Miss Bagman
Aunt Bagman
Uncle Bagman
Mr. and Mrs. Bagman
Bathilda
Dr. Bathilda
Professor Bathilda
Mr. Bathilda
Mrs. Bathilda
Ms. Bathilda
Miss Bathilda
Aunt Bathilda
Uncle Bathilda
Mr. and Mrs. Bathilda
Bagshot
Dr. Bagshot
Professor Bagshot
Mr. Bagshot
Mrs. Bagshot
Ms. Bagshot
Miss Bagshot
Aunt Bagshot
Uncle Bagshot
Mr. and Mrs. Bagshot
Katie
Dr. Katie
Professor Katie
Mr. Katie
Mrs. Katie
Ms. Katie
Miss Katie
Aunt Katie
Uncle Katie
Mr. and Mrs. Katie
Bell
Dr. Bell
Professor Bell
Mr. Bell
Mrs. Bell
Ms. Bell
Miss Bell
Aunt Bell
Uncle Bell
Mr. and Mrs. Bell
Cuthbert
Dr. Cuthbert
Professor Cuthbert
Mr. Cuthbert
Mrs. Cuthbert
Ms. Cuthbert
Miss Cuthbert
Aunt Cuthbert
Uncle Cuthbert
Mr. and Mrs. Cuthbert
Binns
Dr. Binns
Professor Binns
Mr. Binns
Mrs. Binns
Ms. Binns
Miss Binns
Aunt Binns
Uncle Binns
Mr. and Mrs. Binns
Phineas
